R ,64 ,C ,64 ,N ,10 ,D ,1,Rate ,1.000000,T ,2.186000 ,
R ,64 ,C ,64 ,N ,10 ,D ,2,Rate ,1.000000,T ,0.059000 ,
R ,64 ,C ,64 ,N ,10 ,D ,3,Rate ,1.000000,T ,0.049000 ,
R ,64 ,C ,64 ,N ,10 ,D ,4,Rate ,1.000000,T ,0.051000 ,
R ,64 ,C ,64 ,N ,10 ,D ,5,Rate ,1.000000,T ,0.047000 ,
R ,64 ,C ,64 ,N ,10 ,D ,6,Rate ,1.000000,T ,0.061000 ,
R ,64 ,C ,64 ,N ,10 ,D ,8,Rate ,1.000000,T ,0.047000 ,
R ,64 ,C ,64 ,N ,10 ,D ,10,Rate ,1.000000,T ,0.049000 ,
R ,64 ,C ,64 ,N ,10 ,D ,12,Rate ,1.000000,T ,0.047000 ,
R ,64 ,C ,64 ,N ,10 ,D ,14,Rate ,1.000000,T ,0.063000 ,
R ,64 ,C ,64 ,N ,10 ,D ,16,Rate ,1.000000,T ,0.084000 ,
R ,64 ,C ,64 ,N ,10 ,D ,18,Rate ,1.000000,T ,0.048000 ,
R ,64 ,C ,64 ,N ,10 ,D ,20,Rate ,1.000000,T ,0.047000 ,
R ,64 ,C ,64 ,N ,10 ,D ,25,Rate ,1.000000,T ,0.060000 ,
R ,64 ,C ,64 ,N ,10 ,D ,30,Rate ,1.000000,T ,0.044000 ,
R ,64 ,C ,64 ,N ,20 ,D ,1,Rate ,1.000000,T ,0.092000 ,
R ,64 ,C ,64 ,N ,20 ,D ,2,Rate ,1.000000,T ,0.097000 ,
R ,64 ,C ,64 ,N ,20 ,D ,3,Rate ,1.000000,T ,0.102000 ,
R ,64 ,C ,64 ,N ,20 ,D ,4,Rate ,1.000000,T ,0.098000 ,
R ,64 ,C ,64 ,N ,20 ,D ,5,Rate ,1.000000,T ,0.090000 ,
R ,64 ,C ,64 ,N ,20 ,D ,6,Rate ,1.000000,T ,0.109000 ,
R ,64 ,C ,64 ,N ,20 ,D ,8,Rate ,1.000000,T ,0.105000 ,
R ,64 ,C ,64 ,N ,20 ,D ,10,Rate ,1.000000,T ,0.106000 ,
R ,64 ,C ,64 ,N ,20 ,D ,12,Rate ,1.000000,T ,0.112000 ,
R ,64 ,C ,64 ,N ,20 ,D ,14,Rate ,1.000000,T ,0.093000 ,
R ,64 ,C ,64 ,N ,20 ,D ,16,Rate ,1.000000,T ,0.117000 ,
R ,64 ,C ,64 ,N ,20 ,D ,18,Rate ,1.000000,T ,0.100000 ,
R ,64 ,C ,64 ,N ,20 ,D ,20,Rate ,1.000000,T ,0.113000 ,
R ,64 ,C ,64 ,N ,20 ,D ,25,Rate ,1.000000,T ,0.117000 ,
R ,64 ,C ,64 ,N ,20 ,D ,30,Rate ,1.000000,T ,0.118000 ,
R ,64 ,C ,64 ,N ,30 ,D ,1,Rate ,1.000000,T ,0.160000 ,
R ,64 ,C ,64 ,N ,30 ,D ,2,Rate ,1.000000,T ,0.160000 ,
R ,64 ,C ,64 ,N ,30 ,D ,3,Rate ,1.000000,T ,0.131000 ,
R ,64 ,C ,64 ,N ,30 ,D ,4,Rate ,1.000000,T ,0.134000 ,
R ,64 ,C ,64 ,N ,30 ,D ,5,Rate ,1.000000,T ,0.152000 ,
R ,64 ,C ,64 ,N ,30 ,D ,6,Rate ,1.000000,T ,0.145000 ,
R ,64 ,C ,64 ,N ,30 ,D ,8,Rate ,1.000000,T ,0.149000 ,
R ,64 ,C ,64 ,N ,30 ,D ,10,Rate ,1.000000,T ,0.161000 ,
R ,64 ,C ,64 ,N ,30 ,D ,12,Rate ,1.000000,T ,0.142000 ,
R ,64 ,C ,64 ,N ,30 ,D ,14,Rate ,1.000000,T ,0.161000 ,
R ,64 ,C ,64 ,N ,30 ,D ,16,Rate ,1.000000,T ,0.175000 ,
R ,64 ,C ,64 ,N ,30 ,D ,18,Rate ,1.000000,T ,0.158000 ,
R ,64 ,C ,64 ,N ,30 ,D ,20,Rate ,1.000000,T ,0.157000 ,
R ,64 ,C ,64 ,N ,30 ,D ,25,Rate ,1.000000,T ,0.243000 ,
R ,64 ,C ,64 ,N ,30 ,D ,30,Rate ,1.000000,T ,0.254000 ,
R ,64 ,C ,64 ,N ,40 ,D ,1,Rate ,1.000000,T ,0.198000 ,
R ,64 ,C ,64 ,N ,40 ,D ,2,Rate ,1.000000,T ,0.184000 ,
R ,64 ,C ,64 ,N ,40 ,D ,3,Rate ,1.000000,T ,0.199000 ,
R ,64 ,C ,64 ,N ,40 ,D ,4,Rate ,1.000000,T ,0.204000 ,
R ,64 ,C ,64 ,N ,40 ,D ,5,Rate ,1.000000,T ,0.208000 ,
R ,64 ,C ,64 ,N ,40 ,D ,6,Rate ,1.000000,T ,0.229000 ,
R ,64 ,C ,64 ,N ,40 ,D ,8,Rate ,1.000000,T ,0.189000 ,
R ,64 ,C ,64 ,N ,40 ,D ,10,Rate ,1.000000,T ,0.203000 ,
R ,64 ,C ,64 ,N ,40 ,D ,12,Rate ,1.000000,T ,0.217000 ,
R ,64 ,C ,64 ,N ,40 ,D ,14,Rate ,1.000000,T ,0.180000 ,
R ,64 ,C ,64 ,N ,40 ,D ,16,Rate ,1.000000,T ,0.188000 ,
R ,64 ,C ,64 ,N ,40 ,D ,18,Rate ,1.000000,T ,0.229000 ,
R ,64 ,C ,64 ,N ,40 ,D ,20,Rate ,1.000000,T ,0.223000 ,
R ,64 ,C ,64 ,N ,40 ,D ,25,Rate ,1.000000,T ,0.197000 ,
R ,64 ,C ,64 ,N ,40 ,D ,30,Rate ,1.000423,T ,0.338000 ,
R ,64 ,C ,64 ,N ,50 ,D ,1,Rate ,1.000000,T ,0.241000 ,
R ,64 ,C ,64 ,N ,50 ,D ,2,Rate ,1.000000,T ,0.235000 ,
R ,64 ,C ,64 ,N ,50 ,D ,3,Rate ,1.000000,T ,0.235000 ,
R ,64 ,C ,64 ,N ,50 ,D ,4,Rate ,1.000341,T ,0.237000 ,
R ,64 ,C ,64 ,N ,50 ,D ,5,Rate ,1.000339,T ,0.261000 ,
R ,64 ,C ,64 ,N ,50 ,D ,6,Rate ,1.000000,T ,0.232000 ,
R ,64 ,C ,64 ,N ,50 ,D ,8,Rate ,1.000000,T ,0.254000 ,
R ,64 ,C ,64 ,N ,50 ,D ,10,Rate ,1.000338,T ,0.274000 ,
R ,64 ,C ,64 ,N ,50 ,D ,12,Rate ,1.000000,T ,0.301000 ,
R ,64 ,C ,64 ,N ,50 ,D ,14,Rate ,1.000000,T ,0.287000 ,
R ,64 ,C ,64 ,N ,50 ,D ,16,Rate ,1.000000,T ,0.284000 ,
R ,64 ,C ,64 ,N ,50 ,D ,18,Rate ,1.000000,T ,0.302000 ,
R ,64 ,C ,64 ,N ,50 ,D ,20,Rate ,1.000000,T ,0.340000 ,
R ,64 ,C ,64 ,N ,50 ,D ,25,Rate ,1.000000,T ,0.418000 ,
R ,64 ,C ,64 ,N ,50 ,D ,30,Rate ,1.000340,T ,0.418000 ,
R ,64 ,C ,64 ,N ,60 ,D ,1,Rate ,1.000000,T ,0.278000 ,
R ,64 ,C ,64 ,N ,60 ,D ,2,Rate ,1.000000,T ,0.340000 ,
R ,64 ,C ,64 ,N ,60 ,D ,3,Rate ,1.000000,T ,0.328000 ,
R ,64 ,C ,64 ,N ,60 ,D ,4,Rate ,1.000000,T ,0.303000 ,
R ,64 ,C ,64 ,N ,60 ,D ,5,Rate ,1.000000,T ,0.309000 ,
R ,64 ,C ,64 ,N ,60 ,D ,6,Rate ,1.000000,T ,0.336000 ,
R ,64 ,C ,64 ,N ,60 ,D ,8,Rate ,1.000000,T ,0.352000 ,
R ,64 ,C ,64 ,N ,60 ,D ,10,Rate ,1.000000,T ,0.322000 ,
R ,64 ,C ,64 ,N ,60 ,D ,12,Rate ,1.000000,T ,0.360000 ,
R ,64 ,C ,64 ,N ,60 ,D ,14,Rate ,1.000000,T ,0.390000 ,
R ,64 ,C ,64 ,N ,60 ,D ,16,Rate ,1.000000,T ,0.447000 ,
R ,64 ,C ,64 ,N ,60 ,D ,18,Rate ,1.000000,T ,0.368000 ,
R ,64 ,C ,64 ,N ,60 ,D ,20,Rate ,1.000000,T ,0.459000 ,
R ,64 ,C ,64 ,N ,60 ,D ,25,Rate ,1.000000,T ,0.488000 ,
R ,64 ,C ,64 ,N ,60 ,D ,30,Rate ,1.000000,T ,0.488000 ,
R ,64 ,C ,64 ,N ,70 ,D ,1,Rate ,1.000000,T ,0.335000 ,
R ,64 ,C ,64 ,N ,70 ,D ,2,Rate ,1.000000,T ,0.330000 ,
R ,64 ,C ,64 ,N ,70 ,D ,3,Rate ,1.000000,T ,0.348000 ,
R ,64 ,C ,64 ,N ,70 ,D ,4,Rate ,1.000000,T ,0.345000 ,
R ,64 ,C ,64 ,N ,70 ,D ,5,Rate ,1.000487,T ,0.389000 ,
R ,64 ,C ,64 ,N ,70 ,D ,6,Rate ,1.000000,T ,0.353000 ,
R ,64 ,C ,64 ,N ,70 ,D ,8,Rate ,1.000000,T ,0.347000 ,
R ,64 ,C ,64 ,N ,70 ,D ,10,Rate ,1.000000,T ,0.352000 ,
R ,64 ,C ,64 ,N ,70 ,D ,12,Rate ,1.000000,T ,0.327000 ,
R ,64 ,C ,64 ,N ,70 ,D ,14,Rate ,1.000000,T ,0.406000 ,
R ,64 ,C ,64 ,N ,70 ,D ,16,Rate ,1.000000,T ,0.406000 ,
R ,64 ,C ,64 ,N ,70 ,D ,18,Rate ,1.000485,T ,0.569000 ,
R ,64 ,C ,64 ,N ,70 ,D ,20,Rate ,1.000000,T ,0.550000 ,
R ,64 ,C ,64 ,N ,70 ,D ,25,Rate ,1.000000,T ,0.652000 ,
R ,64 ,C ,64 ,N ,70 ,D ,30,Rate ,1.000242,T ,1.187000 ,
R ,64 ,C ,64 ,N ,80 ,D ,1,Rate ,1.000000,T ,0.392000 ,
R ,64 ,C ,64 ,N ,80 ,D ,2,Rate ,1.000000,T ,0.425000 ,
R ,64 ,C ,64 ,N ,80 ,D ,3,Rate ,1.000000,T ,0.388000 ,
R ,64 ,C ,64 ,N ,80 ,D ,4,Rate ,1.000212,T ,0.448000 ,
R ,64 ,C ,64 ,N ,80 ,D ,5,Rate ,1.000000,T ,0.432000 ,
R ,64 ,C ,64 ,N ,80 ,D ,6,Rate ,1.000000,T ,0.386000 ,
R ,64 ,C ,64 ,N ,80 ,D ,8,Rate ,1.000425,T ,0.486000 ,
R ,64 ,C ,64 ,N ,80 ,D ,10,Rate ,1.000000,T ,0.471000 ,
R ,64 ,C ,64 ,N ,80 ,D ,12,Rate ,1.000000,T ,0.388000 ,
R ,64 ,C ,64 ,N ,80 ,D ,14,Rate ,1.000425,T ,0.564000 ,
R ,64 ,C ,64 ,N ,80 ,D ,16,Rate ,1.000000,T ,0.500000 ,
R ,64 ,C ,64 ,N ,80 ,D ,18,Rate ,1.000000,T ,0.594000 ,
R ,64 ,C ,64 ,N ,80 ,D ,20,Rate ,1.000000,T ,0.625000 ,
R ,64 ,C ,64 ,N ,80 ,D ,25,Rate ,1.000213,T ,0.683000 ,
R ,64 ,C ,64 ,N ,80 ,D ,30,Rate ,1.000000,T ,0.909000 ,
R ,64 ,C ,64 ,N ,90 ,D ,1,Rate ,1.000000,T ,0.462000 ,
R ,64 ,C ,64 ,N ,90 ,D ,2,Rate ,1.000000,T ,0.488000 ,
R ,64 ,C ,64 ,N ,90 ,D ,3,Rate ,1.000000,T ,0.422000 ,
R ,64 ,C ,64 ,N ,90 ,D ,4,Rate ,1.000000,T ,0.492000 ,
R ,64 ,C ,64 ,N ,90 ,D ,5,Rate ,1.000378,T ,0.419000 ,
R ,64 ,C ,64 ,N ,90 ,D ,6,Rate ,1.000000,T ,0.509000 ,
R ,64 ,C ,64 ,N ,90 ,D ,8,Rate ,1.000000,T ,0.495000 ,
R ,64 ,C ,64 ,N ,90 ,D ,10,Rate ,1.000188,T ,0.494000 ,
R ,64 ,C ,64 ,N ,90 ,D ,12,Rate ,1.000000,T ,0.560000 ,
R ,64 ,C ,64 ,N ,90 ,D ,14,Rate ,1.000189,T ,0.536000 ,
R ,64 ,C ,64 ,N ,90 ,D ,16,Rate ,1.000189,T ,0.620000 ,
R ,64 ,C ,64 ,N ,90 ,D ,18,Rate ,1.000000,T ,0.621000 ,
R ,64 ,C ,64 ,N ,90 ,D ,20,Rate ,1.000000,T ,0.654000 ,
R ,64 ,C ,64 ,N ,90 ,D ,25,Rate ,1.000188,T ,0.921000 ,
R ,64 ,C ,64 ,N ,90 ,D ,30,Rate ,1.000000,T ,1.187000 ,
R ,64 ,C ,64 ,N ,100 ,D ,1,Rate ,1.000000,T ,0.528000 ,
R ,64 ,C ,64 ,N ,100 ,D ,2,Rate ,1.000000,T ,0.478000 ,
R ,64 ,C ,64 ,N ,100 ,D ,3,Rate ,1.000000,T ,0.498000 ,
R ,64 ,C ,64 ,N ,100 ,D ,4,Rate ,1.000000,T ,0.502000 ,
R ,64 ,C ,64 ,N ,100 ,D ,5,Rate ,1.000000,T ,0.495000 ,
R ,64 ,C ,64 ,N ,100 ,D ,6,Rate ,1.000000,T ,0.572000 ,
R ,64 ,C ,64 ,N ,100 ,D ,8,Rate ,1.000000,T ,0.515000 ,
R ,64 ,C ,64 ,N ,100 ,D ,10,Rate ,1.000000,T ,0.526000 ,
R ,64 ,C ,64 ,N ,100 ,D ,12,Rate ,1.000170,T ,0.629000 ,
R ,64 ,C ,64 ,N ,100 ,D ,14,Rate ,1.000000,T ,0.661000 ,
R ,64 ,C ,64 ,N ,100 ,D ,16,Rate ,1.000000,T ,0.813000 ,
R ,64 ,C ,64 ,N ,100 ,D ,18,Rate ,1.000170,T ,0.756000 ,
R ,64 ,C ,64 ,N ,100 ,D ,20,Rate ,1.000000,T ,0.860000 ,
R ,64 ,C ,64 ,N ,100 ,D ,25,Rate ,1.000000,T ,1.187000 ,
R ,64 ,C ,64 ,N ,100 ,D ,30,Rate ,1.000169,T ,1.397000 ,
R ,64 ,C ,64 ,N ,120 ,D ,1,Rate ,1.000000,T ,0.620000 ,
R ,64 ,C ,64 ,N ,120 ,D ,2,Rate ,1.000000,T ,0.616000 ,
R ,64 ,C ,64 ,N ,120 ,D ,3,Rate ,1.000000,T ,0.628000 ,
R ,64 ,C ,64 ,N ,120 ,D ,4,Rate ,1.000000,T ,0.658000 ,
R ,64 ,C ,64 ,N ,120 ,D ,5,Rate ,1.000000,T ,0.615000 ,
R ,64 ,C ,64 ,N ,120 ,D ,6,Rate ,1.000142,T ,0.656000 ,
R ,64 ,C ,64 ,N ,120 ,D ,8,Rate ,1.000142,T ,0.721000 ,
R ,64 ,C ,64 ,N ,120 ,D ,10,Rate ,1.000000,T ,0.677000 ,
R ,64 ,C ,64 ,N ,120 ,D ,12,Rate ,1.000000,T ,0.830000 ,
R ,64 ,C ,64 ,N ,120 ,D ,14,Rate ,1.000000,T ,0.974000 ,
R ,64 ,C ,64 ,N ,120 ,D ,16,Rate ,1.000142,T ,0.966000 ,
R ,64 ,C ,64 ,N ,120 ,D ,18,Rate ,1.000000,T ,1.057000 ,
R ,64 ,C ,64 ,N ,120 ,D ,20,Rate ,1.000282,T ,1.035000 ,
R ,64 ,C ,64 ,N ,120 ,D ,25,Rate ,1.000142,T ,1.414000 ,
R ,64 ,C ,64 ,N ,120 ,D ,30,Rate ,1.000142,T ,2.508000 ,
R ,64 ,C ,64 ,N ,140 ,D ,1,Rate ,1.000000,T ,0.677000 ,
R ,64 ,C ,64 ,N ,140 ,D ,2,Rate ,1.000000,T ,0.723000 ,
R ,64 ,C ,64 ,N ,140 ,D ,3,Rate ,1.000000,T ,0.750000 ,
R ,64 ,C ,64 ,N ,140 ,D ,4,Rate ,1.000000,T ,0.731000 ,
R ,64 ,C ,64 ,N ,140 ,D ,5,Rate ,1.000244,T ,0.744000 ,
R ,64 ,C ,64 ,N ,140 ,D ,6,Rate ,1.000122,T ,0.800000 ,
R ,64 ,C ,64 ,N ,140 ,D ,8,Rate ,1.000363,T ,0.924000 ,
R ,64 ,C ,64 ,N ,140 ,D ,10,Rate ,1.000121,T ,0.919000 ,
R ,64 ,C ,64 ,N ,140 ,D ,12,Rate ,1.000000,T ,1.058000 ,
R ,64 ,C ,64 ,N ,140 ,D ,14,Rate ,1.000000,T ,0.990000 ,
R ,64 ,C ,64 ,N ,140 ,D ,16,Rate ,1.000242,T ,1.057000 ,
R ,64 ,C ,64 ,N ,140 ,D ,18,Rate ,1.000000,T ,1.236000 ,
R ,64 ,C ,64 ,N ,140 ,D ,20,Rate ,1.000000,T ,1.345000 ,
R ,64 ,C ,64 ,N ,140 ,D ,25,Rate ,1.000122,T ,1.885000 ,
R ,64 ,C ,64 ,N ,140 ,D ,30,Rate ,1.000486,T ,3.210000 ,
R ,64 ,C ,64 ,N ,160 ,D ,1,Rate ,1.000000,T ,0.875000 ,
R ,64 ,C ,64 ,N ,160 ,D ,2,Rate ,1.000000,T ,0.878000 ,
R ,64 ,C ,64 ,N ,160 ,D ,3,Rate ,1.000000,T ,0.873000 ,
R ,64 ,C ,64 ,N ,160 ,D ,4,Rate ,1.000106,T ,1.005000 ,
R ,64 ,C ,64 ,N ,160 ,D ,5,Rate ,1.000000,T ,0.905000 ,
R ,64 ,C ,64 ,N ,160 ,D ,6,Rate ,1.000000,T ,0.976000 ,
R ,64 ,C ,64 ,N ,160 ,D ,8,Rate ,1.000000,T ,0.996000 ,
R ,64 ,C ,64 ,N ,160 ,D ,10,Rate ,1.000000,T ,1.110000 ,
R ,64 ,C ,64 ,N ,160 ,D ,12,Rate ,1.000106,T ,1.336000 ,
R ,64 ,C ,64 ,N ,160 ,D ,14,Rate ,1.000000,T ,1.275000 ,
R ,64 ,C ,64 ,N ,160 ,D ,16,Rate ,1.000106,T ,1.477000 ,
R ,64 ,C ,64 ,N ,160 ,D ,18,Rate ,1.000212,T ,1.448000 ,
R ,64 ,C ,64 ,N ,160 ,D ,20,Rate ,1.000531,T ,1.947000 ,
R ,64 ,C ,64 ,N ,160 ,D ,25,Rate ,1.000000,T ,2.876000 ,
R ,64 ,C ,64 ,N ,160 ,D ,30,Rate ,1.000531,T ,3.290000 ,
R ,64 ,C ,64 ,N ,180 ,D ,1,Rate ,1.000094,T ,0.892000 ,
R ,64 ,C ,64 ,N ,180 ,D ,2,Rate ,1.000000,T ,0.993000 ,
R ,64 ,C ,64 ,N ,180 ,D ,3,Rate ,1.000000,T ,0.996000 ,
R ,64 ,C ,64 ,N ,180 ,D ,4,Rate ,1.000000,T ,1.082000 ,
R ,64 ,C ,64 ,N ,180 ,D ,5,Rate ,1.000094,T ,1.038000 ,
R ,64 ,C ,64 ,N ,180 ,D ,6,Rate ,1.000094,T ,1.143000 ,
R ,64 ,C ,64 ,N ,180 ,D ,8,Rate ,1.000189,T ,1.265000 ,
R ,64 ,C ,64 ,N ,180 ,D ,10,Rate ,1.000094,T ,1.234000 ,
R ,64 ,C ,64 ,N ,180 ,D ,12,Rate ,1.000000,T ,1.343000 ,
R ,64 ,C ,64 ,N ,180 ,D ,14,Rate ,1.000000,T ,1.489000 ,
R ,64 ,C ,64 ,N ,180 ,D ,16,Rate ,1.000094,T ,1.668000 ,
R ,64 ,C ,64 ,N ,180 ,D ,18,Rate ,1.000943,T ,2.125000 ,
R ,64 ,C ,64 ,N ,180 ,D ,20,Rate ,1.000283,T ,2.541000 ,
R ,64 ,C ,64 ,N ,180 ,D ,25,Rate ,1.000377,T ,3.406000 ,
R ,64 ,C ,64 ,N ,180 ,D ,30,Rate ,1.001039,T ,5.193000 ,
R ,64 ,C ,64 ,N ,200 ,D ,1,Rate ,1.000085,T ,1.121000 ,
R ,64 ,C ,64 ,N ,200 ,D ,2,Rate ,1.000000,T ,1.075000 ,
R ,64 ,C ,64 ,N ,200 ,D ,3,Rate ,1.000000,T ,1.062000 ,
R ,64 ,C ,64 ,N ,200 ,D ,4,Rate ,1.000000,T ,1.209000 ,
R ,64 ,C ,64 ,N ,200 ,D ,5,Rate ,1.000170,T ,1.251000 ,
R ,64 ,C ,64 ,N ,200 ,D ,6,Rate ,1.000000,T ,1.382000 ,
R ,64 ,C ,64 ,N ,200 ,D ,8,Rate ,1.000000,T ,1.537000 ,
R ,64 ,C ,64 ,N ,200 ,D ,10,Rate ,1.000085,T ,1.561000 ,
R ,64 ,C ,64 ,N ,200 ,D ,12,Rate ,1.000000,T ,1.615000 ,
R ,64 ,C ,64 ,N ,200 ,D ,14,Rate ,1.000000,T ,1.943000 ,
R ,64 ,C ,64 ,N ,200 ,D ,16,Rate ,1.000255,T ,2.003000 ,
R ,64 ,C ,64 ,N ,200 ,D ,18,Rate ,1.000340,T ,2.237000 ,
R ,64 ,C ,64 ,N ,200 ,D ,20,Rate ,1.000170,T ,2.841000 ,
R ,64 ,C ,64 ,N ,200 ,D ,25,Rate ,1.000680,T ,4.465000 ,
R ,64 ,C ,64 ,N ,200 ,D ,30,Rate ,1.000848,T ,6.398000 ,
R ,64 ,C ,64 ,N ,220 ,D ,1,Rate ,1.000077,T ,1.170000 ,
R ,64 ,C ,64 ,N ,220 ,D ,2,Rate ,1.000000,T ,1.298000 ,
R ,64 ,C ,64 ,N ,220 ,D ,3,Rate ,1.000077,T ,1.243000 ,
R ,64 ,C ,64 ,N ,220 ,D ,4,Rate ,1.000000,T ,1.360000 ,
R ,64 ,C ,64 ,N ,220 ,D ,5,Rate ,1.000077,T ,1.321000 ,
R ,64 ,C ,64 ,N ,220 ,D ,6,Rate ,1.000154,T ,1.484000 ,
R ,64 ,C ,64 ,N ,220 ,D ,8,Rate ,1.000077,T ,1.624000 ,
R ,64 ,C ,64 ,N ,220 ,D ,10,Rate ,1.000155,T ,1.731000 ,
R ,64 ,C ,64 ,N ,220 ,D ,12,Rate ,1.000077,T ,2.221000 ,
R ,64 ,C ,64 ,N ,220 ,D ,14,Rate ,1.000387,T ,2.513000 ,
R ,64 ,C ,64 ,N ,220 ,D ,16,Rate ,1.000618,T ,2.252000 ,
R ,64 ,C ,64 ,N ,220 ,D ,18,Rate ,1.000232,T ,3.037000 ,
